text,label
"Simply, one of the funiest movies i've ever seen. It's a parody of crime-life, parody of everything that represents the Chicago 1930.- There is no realy need to underestimate this movie because rating is under 5. Its a opinion of a mass, and mass is hypnotized. Who decide to watch it - it will regret, Who decide not to watch it - will regret more.",1
"It's been quite some time since I've watched this LOTR. I am currently hunting for a copy to purchase. Bakshi's work is quite true to the original work. The visuals are engrosing and sometimes haunting.<br /><br />Drawbacks? Occasionally, the movie is confusing or muddled. There are one or two times where the storyline slows to a crawl. But, overall -- buy this movie. It's great for kids, adults and collectors.",1
"With the advent of the IMDb, this overlooked movie can now find an interested audience. Why? Because users here who do a search on two-time Academy Award winner Glenda Jackson can find 'The Return of The Soldier' among her credits. So can those checking out Oscar winner Julie Christie. Fans of Ann-Margret can give the title a click, as will those looking into the career of the great Alan Bates. Not to mention the added bonus of a movie with supporting heavyweights Ian Holm and Frank Finlay. Any movie with so many notables in it is rewarded by the IMDb, given all the cross-referencing that goes on here. So, why isn't this movie out on DVD? Don't the Producers realize the Internet Movie Database is a marketing gift for such a film? And 'The Return of The Soldier' is definitely a gem waiting to be discovered. Get with it, people.",1
"The banner says it all, this is one really bad movie, which is sad because I normally like Sheffer, and I have been impressed with Andrea Roth in other roles. This, however, is terrible. I wont waste any more time...its just that bad.",0
"Welcome to movie 17 on the chilling classics 50 pack. Where we'll see, That's right. Another movie that makes absolutely no sense. Seriously, this movie had me so confused at the end, i thought i was rewatching ""At Dawn they Sleep."" The plot seems simple enough....well that is until 3 seconds into the movie where a girl supposedly killed a cat and then...um.. explodes? i have no idea what happened. and that was BEFORE THE TITLE SCREEN. That's really sad when i can't even tell what happened in the first 3 minutes.<br /><br />Anyway it stars a photographer with a big mustache who finds this girl after dumping his other girlfriend on the way to take pictures of something somewhere. so we get there but not before somebody steals their jeep to drive it 200 feet out of the way towards a town. suspicious? nah. so they decide to stay at this deserted village with one old lady. and then blah blah stuff happens and blah blah talking. The guy with the mustache goes out in the fog for some reason even though the old lady tells him not to. He gets lost and then finds his way back.<br /><br />Oh, i forgot to mention this is all after an incredibly pointless 20 minutes of them staying in the house of a guy who looks like that buggy eyed guy from casablanca. Then they leave. There's really no point to this scene. It's really just padding. if you cut it out no one would have noticed or cared.<br /><br />But sadly, that was actually the best part of the movie. wait. let me rephrase that. REALLY sadly that was the best part of the movie. because the rest is so confusing that i had to look on IMDb to find out what happened. But of course no one else knows so i'm SOL. <br /><br />Seriously, the last 30 minutes of the movie were some of the most mindscrewing moments i've ever seen on film. They dressed her up in a dress, he gets kidnapped, then released, he runs back to the house, then at the end the witches are in the house and it ends? seriously. i have hardly ever been so confused in a movie. i mean, as bad as movies such as ""War of the Robots"" are, at least they MAKE SENSE. this movie doesn't even make the ATTEMPT to be coherent. the ending was as confusing as the end of ""At dawn they sleep"" and the plot was much more boring. This movie gets a 1 just for its sheer ""i have no idea what happened in this movie""ness. ""Witches mountain"" gets 1 confused movie watcher out of 10.",0
"a friend gave it to me saying it was another classic like ""Debbie does Dallas"". Nowhere close. I think my main complaint is about the most unattractive lead actress in porn industry ever. Even more terrible is that she is on screen virtually all the time. But I read somewhere that back in those days, porn had to have some ""artistic"" value. I was unable to find it though. See it only if you are interested in history of development of porn into mainstream, or can appreciate art in porn movies. I know I am not. But the director of the movie appears to be a talented person. He even tried to get Simon & Garfunkel to give him permissions to use his songs. Of course, they rejected.",0
"Man has been to the farthest reaches of the earth and now he is traveling to new worlds. But with new worlds come ancient evils... the vampires of space. And not just a handful but entire tribes. In this film (which I saw as ""Bloodsuckers"" but I guess also goes as ""Vampires Wars"") we see what happens when the imperialist earthlings meet the imperialist vampires.<br /><br />I will make this review very short because it's undeserving of a good review. The best I can say for this film is it has a good cast of b-list and upcoming stars. Natassia Malthe was Quintana, and was far more attractive here than in ""Bloodrayne 2"". Michael Ironside is Muco, and is always a fan favorite (as I say, he's the poor man's Jack Nicholson). And we even get Carrie-Ann Fleming as ""Damian's wife"", who horror fans will now recognize as the eponymous Jenifer from Dario Argento's ""Jenifer"". So this movie, as bad as it is, isn't without some names attached... but the same can be said of Uwe Boll's work.<br /><br />The concept of the military tracking and killing vampires in space isn't necessarily a bad idea, but it easily falls into the realm of ""cheese"" and this film falls hard. The acting, especially from the vampires, is over the top and I just didn't find the explanations of their existence very convincing. Worst of all, the vampire tribes have the names ""Voorhess"" and ""Leatherfaces"". I understand this was supposed to be a clever reference for the horror fans, but it wasn't clever at all. It just sounded dumb and out of place (unlike the much more subtle references in James Gunn's ""Slither"", such as naming stores after lesser-known horror directors).<br /><br />That's all I want to say. If you can stand lots of cheese (on this day I couldn't and I'm from Wisconsin) and want to see average actors with poor costumes fight vampires in space (although ""space"" looks a lot like any other forest on earth) check this one out, if you can find it. I don't personally recommend this when you can watch other cheesy vampires films (Jon Carpenter's ""Vampires"") or other cheesy space movies. Or maybe even some good ones. But, hey, do your thing.",0
"Michael Keaton has really never been a good actor; in the Tim Burton Batman movies he always falls in the shadows of his great villains. Here, he stars as a widowed husband that picks up radio frequencies that seems like is dead people that tries making contact with the living...<br /><br />Well, this is supposed to be a pretty shocking thriller, but it really misses about every spot there is shocking you. Because there's way too much stuff that ends up unexplained, undiscovered and uninteresting. So where's the shocking excitement when it all gets so bad movie made in the first place that WHITE NOISE makes a fool out of itself? Truly bad acting and horrifying edited, this movie is nothing to watch. Michael Keaton tries making a thriller comeback but ends up missing the target more than ever.",0
"Like other people who commented on ""Fräulein Doktor"" I stumbled by chance upon this little gem on late-night TV without having heard of it before. The strange mixture of a pulp fiction story about a sexy but unscrupulous anti-heroine on the one hand and a realistic and well-researched portrayal of war in the trenches on the other hand had me hooked from the beginning.<br /><br />To me this is one of the five best movies about WWI (the others are ""All Quiet On The Western Front"", ""Paths Of Glory"", ""Gallipoli"" and the post-war ""La vie et rien d'autre""). And the scene with the poison gas attack is really chilling; the horses and men appear like riders of the apocalypse with their gas masks.<br /><br />I only wish I had taped the film.",1
"I've seen (far too) many flicks from this company - this one is about middle of the pack. One the good side, its a bit more stylized and under control than some of their fare - less of the sophomoric attempts at humor and more adherence to story (for what its worth). Many of their titles, like Sexy Sixth Sense, are buried by baaaad performances and an amateurish sensibility. On the other side, I found the simulated sex scenes not as hot as some of their other flicks (like Vampire Vixens, Gladiator Eroticus, Spiderbabe or Mistress Frankenstein).<br /><br />Misty Mundae is always a 10 on the peter meter, as is Darian Caine. I found Barbara Joyce hot in a school-marm kinda way, and Ruby LaRocca a sexy little hottie.<br /><br />Watch this with the remote firmly in your (free) hand, on a night when you need a break from porn. Don't waste your time wanting to check the story - you've got better things to do w/ your life. It is not a movie, it's pure T&A, but not bad by that standard.",0
"Well, I suppose the good news concerning William Winckler's 2001 opus, ""The Double-D Avenger,"" is that it manages to unite three of Russ Meyer's mammarian marvels--Kitten Natividad, Haji and Raven de la Croix--in one picture. (I can only assume that Lorna Maitland, Tura Satana and Babette Bardot were busy the week they shot this thing...or else managed to see a copy of the script in advance!) The bad news, though (and there's plenty of it), is that this film--if it can even be called that, having been shot straight to video--is a complete misfire, a total abortion, an out-and-out atrocity, an absolute abomination, and truly one of the worst pictures that I have ever seen. Look no further for the lamest superhero movie ever made! The plot here, such as it is, deals with Kitten gaining superpowers after fellating the rare cockazilla plant in South America to cure her breast cancer (oy), and later battling a trio of megalunged bikini dancers back in L.A. Too bad that every lame boob joke trotted out falls completely (you should pardon the expression) flat, that there is ZERO actual nudity in the film at all (other than some old photos of Kitten in her heyday), and that some shaving cream and a papier-mache boulder are the sum total of the special FX. The Meyer gals here are a bit long in the tooth/saggy in the chest, to put it kindly, although Sheri Dawn Thomas, as bikini girl Ooga Boobies (!), does manage to, uh, stand out nicely. So why have I given this juvenile, unfunny, failed embarrassment of a movie 2 stars instead of 1? To be succinct: Joe Bob Briggs. His voice-over commentary in the special features of the DVD I just watched is absolutely hilarious, especially when he pulls out around 100 synonyms for the word ""breast"" from the 1,000+ on his Web site's ""Canonical Hooters List."" The man is a national treasure, and he manages to upgrade this skeet of a disc to coaster status!",0
"Bela made 9 pics for Monogram, but it was only at THIS one, the 4TH, that things started to come together. All the rest in the series would use this one as the essential template for production, writing and character development. From here on, better or worse, the series would also deal with one essential theme: a scientist (usually Bela) makes experiments in the basement or the old house (sometimes IN the basement in the old house) that causes things to go blooey. This was also the first time that Art Director Dave Milton got a chance to spread his wings. He came on board for BLACK DRAGONS, the flick before, but THIS one is where he gets to make his craft start to click. Lewis made great atmosphere for next to nothing, and was around for all the rest of the Monograms. Casting is key in these, and it's a pretty good one B movie wise, here. You get Barclay and Harlen (also from BLACK DRAGONS),along with Russell, who would star in Lewtons' CAT PEOPLE movies..and Rosetto, from SPOOKS RUN WILD...a nice slice of Poverty Row talent. If you have limited time and budget, start with this one...it sums up everything they had learned up to this point, and gives you something to compare the rest to. The plot? Bela steals gland juice to keep his nasty wife young. They both like to sleep in coffins. If you can read that and smile, the rest will be easy.",1
"My children just happened to stop at this movie the other night and as things started to play out it really piqued my interest. I had to head out for bowling league so I had them record it for me on the dvr so I could watch the rest later. Well I just got done watching it and the front of my shirt must be soaked after crying buckets. It was an excellent movie even though I could almost feel the pain and anguish these girls were experiencing. And I never in a million years would have guessed the reason why Alissia had gone from this beautiful girl to an anti-social goth. This was probably WHY my shirt was soaked because I've experienced that same pain that Alissia was feeling. I too would not have sought out this movie, but I'm sure glad I saw it. Very moving, very touching. Great for those who love a good drama or tear-jerker.",1
"I saw this a couple of nights back, not expecting too much and unsurprisingly it didn't deliver anything too exciting. The plot set up of a crew of vampire hunters (V-San, for vampire sanitation), going around in their spaceship periodically killing space vamps and rescuing people, is quite sound and had the film been handled better it might well have been something quite ace. Unfortunately after a fairly decent opening the sense of actual quality starts to drain away from the film, leaving something behind that, though vacantly watchable, is quite laughably bad. I don't expect anything too special from these films that pop up on the Sci Fi Channel and at least this wasn't one of their creature features with an atrocious cgi beast shambling about, but it was still pretty bad, mostly due to the writing and acting, but with a sterling contribution to the overall badness made by the horrible music. When the film opted just for a typical science fiction sounding weird noises approach to the soundtrack it did OK, but all too often hilariously bad soft rock intruded and pitched scenes into silliness. I would have tolerated the general cheesy acting and writing more were it not for the choice of music, which was a serious miscalculation, turning things from cheesy to lamely comical. Of the acting, Dominic Zamprogna was OK but bland as the nominal hero, whilst Leanne Adachi was pretty irritating as the tough girl of the vamp busting team and Aaron Pearl played another member who wasn't well written or interesting enough to make an impression. Though she didn't seem that good at the acting lark Natassia Malte did well through having a less irritating character than the others, and the fact that she is seriously nice to look at. The only serious name in the cast is Michael Ironside and he is underused though he does nicely, pretty amusing in a manner one suspects was intentional. He seems to have fun and earn his paycheck and his role is entertaining. The effects are OK on the whole, they are at least of the standards of the average science fiction TV show, and there are also a few scenes of blood splatter and a bit of fun gore as well. Things move along nicely, and I almost feel harsh rating this film badly, but then I remember bursting into laughter at regular intervals and realising that unless the film is an intentional comedy, which I don't think it is, then it simply doesn't succeed. Too much is lame, daft, unconvincing, its an OK effort I guess but it didn't appeal to me. Only give it a go if you really dig Sci Fi trash or unintended chuckles I'd say.",0
"Greatly enjoyed this 1945 mystery thriller film about a young woman, Nina Foch,(Julia Ross) who is out of work and has fallen behind in her rent and is desperate to find work. Julia reads an ad in the local London newspaper looking for a secretary and rushes out to try and obtain this position. Julia obtains the position and is hired by a Mrs. Hughes, (Dame May Witty) who requires that she lives with her employer in her home and wants her to have no involvement with men friends and Julia tells them she has no family and is free to devote her entire time to this job. George Macready, (Ralph Hughes) is the son of Mrs. Hughes and has some very strange desires for playing around with knives. This was a low budget film and most of the scenes were close ups in order to avoid the expense of a background and costs for scenery. This strange family all live in a huge mansion off the Cornwall Coast of England and there is secret doors and plenty of suspense.",1
Ming The Merciless does a little Bardwork and a movie most foul!,0
"Despite the (English) title, this seems to have little to do with Devils and much more to do with a power hungry ruler who seeks the Philospher's Stone & wants gold made from lead (& virgin's blood). Jacinto Molina plays Gilles de Lancre and seems to have little issue with having people put to death when he thinks they threaten his position or when he needs virgins for their blood. He's basically egged on by his lady love and an alchemist that he's employed and it's more greed and insanity that seems to be his problem than demonic possession (unfortunately). There are parts that are at least somewhat exciting like jousting and grown men trying to knock each other down with big sticks, and the film at least has a good look to it, but otherwise there's little about this to recommend. Little in the way of gore and nothing to be afraid of at all, and most unusual, for a Molina/Naschy film, not really any unintentional humor. Therefore, 4 out of 10.",0
"When you start watching this animation-masterpiece, you quickly notice, that it's a European production. Although the Europeans have (sadly) integrated some of the clichés you would normally find in an American production of this kind, most are missing. One of these is that there is an overwhelming evil that only our (very few and very unlikely) heroes can vanquish. Another is that one of the group is only in the business for the money, is greedy, runs away when the heat is up but somehow gives in to his better nature. This movie would have been better off without both.<br /><br />The movie is based upon a TV-Series that was out four years before the movie. Unlike the movie, the TV-Series is a cartoon and not a computer animation. At first I thought the computer would kill the charm and character of the plot but I was quickliy convinced: Whoever did the animation knew his or her stuff! Although the characters are obviously fictional (in stills they don't even look real), they seem as alive and sentient as the audience following their quest. Making characters who by ""normal"" standards could be considered deformed (those micro-legs could never carry that giant body let alone make it jump) so alive and lovable is more than ""just a highlight""! The creation of the world is another masterpiece. Not so much because of its looks but because of the inventiveness of it. The world our heroes travel is not solid like our own but is made of many pieces of land varying in shape and size that seem to be floating in mid air. When a person steps on a smaller fragment of ground, it nods a little bit as if feathering from the weight. In some cases up and down no longer apply but our heroes still manage to get a foothold somewhere. Although the world of floating islands is completely surreal, in this movie it is absolutely believable and after a short time it doesn't seem any weirder than running into a car somewhere in New York.<br /><br />I wrote that the looks of the world aren't as breathtaking as the idea. As true as that might be to my mind, the quality of the world, the characters and the attention to details is staggering. Although the faces of the characters have relatively few attributes, emotions can be read as clearly as in Sean Connery's or Dustin Hoffman's face. The world around the characters is wonderfully colourful and no two settings are alike. The background is always in motion, something is always going on which makes the world seem even more alive. If you stop the movie and look at the background you will be surprised how many details you can find.<br /><br />The existence of Hector actually puts the cherry on top. Hector is a furry little ""thing"" (possibly the equivalent of a dog in our world) who is totally lovable and extremely funny. Although he isn't really important for the main plot, he would be missed like Scrat would be in Ice Age. The really cool thing about Hector is that you need to speak Gibberish to understand him.<br /><br />If the movie is so great, why didn't I give it 10 stars? Well, the plot in itself was rather thin. Two hunters are sent out to rescue the world from a really bad dragon who wants to swallow the world, isn't really original. That in itself wouldn't be much of a problem. What I missed was the background information. What kind of a dragon was this and why did it look that way? I love mythical stories but if they get too thin then they seem to be written after the movie is finished in a feeble attempt to give the whole thing some depth.<br /><br />Another thing I didn't like was Zoé. Although a little girl like her could be considered adorable, she was somewhat of a pain in this movie. She seemed pretty resistant to all types of learning about reality, kept dreaming of some hero from a story book and basically slowed the others down. She would have been OK if she had developed a little more and a little earlier in the movie - or had been less of a girly to start with. To me the idea of this girl who was there to twist the story a little backfired on the writers.<br /><br />All in all, this is a really good movie for just about all ages.",1
"I saw this movie in a theater in Chicago and should have enjoyed it, since I love Nemesis but if the first half an hour is skillfully done, the rest is just sub-Predator video fodder, a long chase through those post-modern empty factories Pyun affectionnates. My girlfriend fell asleep. I still like Pyun though, but not this",0
"Three part ""horror"" film with some guy in a boarded up house imploring the viewer not to go ""out there"" and (unfortunately) gives us three tales to prove why.<br /><br />The first story involves a young couple in a car accident who meet up with two psychos. It leads up to two totally predictable twists. Still, it's quick (about 15 minutes), violent, well-acted and well-done. Predictable but enjoyable.<br /><br />The second involves a man on the run after stealing a large amount of money. His car breaks down, he's attacked by a dog and stumbles into a nearby clinic. VERY obvious, badly done and extremely slow. Even at 30 minutes this is too long. Good acting though.<br /><br />The third is just barely a horror story. It involves a beautiful, lonely woman looking for Mr. Right. It has beautiful set designs, a nice erotic feel and a nice sex scene. But (again) predictable and not even remotely scary.<br /><br />It ends very stupidly.<br /><br />All in all, the first one is worth watching, but that's it. Tune in for that one then turn it off.",0
"I spent 5 hours drenched in this film. Nothing I have ever seen comes close to the delicious funk this film left me in. Never mind females advanced aging dilemma's, human fear vaults off the screen for your viewing. Personally engaging to the ninth degree, the film invests one with an undeniable shared feeling for our lives'. I enjoyed this dalliance with raw wounded gall deep from within. It empowers a mutually shared vestment in the history of human encounters reaching far deeper into the pain, isolation and skewed views of self and others. The result forgives our tepid forming of a bridge away from the muddy sludge of dead we must encounter. The birth in finding real people is a happy pursuit. The effort for realism intersects with the dark ground of our bankrupt culture.",1
"I saw this film at the Rhode Island International Film Festival and was completely blown away. The structure and execution of the film was fantastic...I know it won't, but it really deserves an Oscar nod. Cal and Andre were phenomenal as the two disturbed classmates. Yes, the film is very controversial and I can see a lot of people having a lot of problems with it, as it deals with school shooting and especially makes you identify with the killers. However, despite its harsh and blunt subject matter, Zero Day is SO worth watching. I'm looking forward to it coming out on video so I can buy it - it's very, very good. Very powerful and intense...the end shooting sequence leaves you speechless because it's almost too realistic. Their uncertainty, the ""recordings"", the footage and panic of the students, totally indescribable. I really hope it gets the attention it deserves. It's done in the same format as The Blair Witch Project, handheld camera, made to appear as a true home video documentary kind of film - but god is it INFINITELY better. Very impressive, hats off to everyone involved. If you've got the chance you really should see it.",1
"Budget, decent actors ...who knew these things were important. Don't waste your time on this piece of junk. The effects are crap. The acting is crap. The only thing that could have made this even tolerable was a little cheap T&A and that gets squandered in the first 20 minutes.<br /><br />The only even remotely redeeming quality about this movie is the very awkward profanity. It was like they found the only 7 people on the planet who have never cursed before. Hats off!<br /><br />If you want to see some dude in a bad suit just go back and look at old prom photos. The only way for a Bigfoot flick to be any good is for it to have a big budget and some actors who didn't come from Frogballs Community Theater.",0
